simplified	traditional	pronunciation	meaning	hsklevel
解读	解讀	jie3 du2	to decipher; to decode; to interpret	7-9
解释	解釋	jie3 shi4	explanation; to explain; to interpret; to resolve; CL:個|个[ge4]	4
解开	解開	jie3 kai1	to untie; to undo; to solve (a mystery)	3
解除	解除	jie3 chu2	to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement)	5
解体	解體	jie3 ti3	to break up into components; to disintegrate; to collapse; to crumble	7-9
触动	觸動	chu4 dong4	to touch; to stir up (trouble or emotions); to move (sb's emotions or worry)	7-9
触摸	觸摸	chu4 mo1	to touch	7-9
触犯	觸犯	chu4 fan4	to violate; to offend	7-9
触目惊心	觸目驚心	chu4 mu4 jing1 xin1	lit. shocks the eye, astonishes the heart (idiom); shocking; horrible to see; a ghastly sight	7-9
触觉	觸覺	chu4 jue2	sense of touch; tactile sensation	7-9
言行	言行	yan2 xing2	words and actions; what one says and what one does	7-9
言语	言語	yan2 yu3	words; speech; (spoken) language	5
言语	言語	yan2 yu5	to speak; to tell	5
言论	言論	yan2 lun4	expression of opinion; views; remarks; arguments	7-9
言辞	言辭	yan2 ci2	words; expression; what one says	7-9
订	訂	ding4	to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order	3
订单	訂單	ding4 dan1	(purchase) order	7-9
订婚	訂婚	ding4 hun1	to get engaged	7-9
订立	訂立	ding4 li4	to conclude (treaty, contract, agreement etc); to set up (a rule etc)	7-9
订购	訂購	ding4 gou4	to place an order; to subscribe	7-9
计	計	Ji4	surname Ji	7-9
计	計	ji4	to calculate; to compute; to count; to regard as important; to plan; ruse; meter; gauge	7-9
计划	計劃	ji4 hua4	plan; project; program; to plan; to map out; CL:個|个[ge4],項|项[xiang4]	2
计时	計時	ji4 shi2	to measure time; to time; to reckon by time	7-9
计策	計策	ji4 ce4	stratagem	7-9
计算	計算	ji4 suan4	to calculate; to compute; to consider; to think over; to plot; to scheme	3
计算机	計算機	ji4 suan4 ji1	computer; (Tw) calculator; CL:臺|台[tai2]	2
计较	計較	ji4 jiao4	to bother about; to haggle; to bicker; to argue; plan; stratagem	7-9
讨	討	tao3	to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study	7-9
讨人喜欢	討人喜歡	tao3 ren2 xi3 huan5	to attract people's affection; charming; delightful	7-9
讨价还价	討價還價	tao3 jia4 huan2 jia4	to haggle over price; to bargain	7-9
讨厌	討厭	tao3 yan4	to dislike; to loathe; disagreeable; troublesome; annoying	5
讨好	討好	tao3 hao3	to get the desired outcome; to win favor by fawning on sb; to curry favor with; a fruitful outcome to reward one's labor	7-9
讨论	討論	tao3 lun4	to discuss; to talk over	2
训	訓	xun4	to teach; to train; to admonish; (bound form) instruction (from superiors); teachings; rule	7-9
训练	訓練	xun4 lian4	to train; to drill; training; CL:個|个[ge4]	3
托	託	tuo1	to trust; to entrust; to be entrusted with; to act as trustee	6
记	記	ji4	to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots	1
记住	記住	ji4 zhu5	to remember; to bear in mind; to learn by heart	1
记得	記得	ji4 de5	to remember	1
记忆	記憶	ji4 yi4	to remember; to recall; memory	5
记忆犹新	記憶猶新	ji4 yi4 you2 xin1	to remain fresh in one's memory (idiom)	7-9
记者	記者	ji4 zhe3	reporter; journalist; CL:個|个[ge4]	3
记号	記號	ji4 hao5	mark; symbol; notation; seal	7-9
记载	記載	ji4 zai3	to write down; to record; written account	4
记录	記錄	ji4 lu4	to record; record (written account); note-taker; record (in sports etc); CL:個|个[ge4]	3
讹诈	訛詐	e2 zha4	to extort under false pretenses; to blackmail; to bluff; to defraud	7-9
诀别	訣別	jue2 bie2	to bid farewell; to part (usually with little hope of meeting again)	7-9
诀窍	訣竅	jue2 qiao4	secret; trick; knack; key	7-9
访问	訪問	fang3 wen4	to visit; to call on (a person or place); (computing) to visit (a website); to access (a network resource etc); (Tw) to interview (e.g. for a report or feature story); CL:次[ci4]	3
访谈	訪談	fang3 tan2	to visit and discuss; to interview	7-9
设	設	she4	to set up; to put in place; (math.) given; suppose; if	7-9
设备	設備	she4 bei4	equipment; facilities; installations	3
设定	設定	she4 ding4	to set; to set up; to install; setting; preferences	7-9
设想	設想	she4 xiang3	to imagine; to assume; to envisage; tentative plan; to have consideration for	5
设施	設施	she4 shi1	facilities; installation	4
设法	設法	she4 fa3	to try; to make an attempt; to think of a way (to accomplish sth)	7-9
设立	設立	she4 li4	to set up; to establish	3
设置	設置	she4 zhi4	to set up; to install	4
设计	設計	she4 ji4	to design; to plan; design; plan	3
设计师	設計師	she4 ji4 shi1	designer; architect	6
许	許	Xu3	surname Xu	7-9
许	許	xu3	to allow; to permit; to promise; to praise; somewhat; perhaps	7-9
许可	許可	xu3 ke3	to allow; to permit	5
许可证	許可證	xu3 ke3 zheng4	license; authorization; permit	7-9
许多	許多	xu3 duo1	many; a lot of; much	2
诉苦	訴苦	su4 ku3	to grumble; to complain; grievance	7-9
诉讼	訴訟	su4 song4	lawsuit	7-9
诉说	訴說	su4 shuo1	to recount; to tell of; to relate; (fig.) (of a thing) to stand as testament to (some past history)	7-9
诊所	診所	zhen3 suo3	clinic	7-9
诊断	診斷	zhen3 duan4	to diagnose	5
注	註	zhu4	to annotate; to provide explanatory notes on a written text; an annotation; an explanatory note; (bound form) to put on record; to register	7-9
注册	註冊	zhu4 ce4	to register; to enroll	5
注定	註定	zhu4 ding4	to foreordain; to be bound to; to be destined to; to be doomed to; inevitably	7-9
证	証	zheng4	to admonish; variant of 證|证[zheng4]	3
诈骗	詐騙	zha4 pian4	to defraud; to swindle; to blackmail	7-9
评	評	ping2	to discuss; to comment; to criticize; to judge; to choose (by public appraisal)	6
评估	評估	ping2 gu1	to evaluate; to assess; assessment; evaluation	5
评价	評價	ping2 jia4	to evaluate; to assess	3
评判	評判	ping2 pan4	to judge (a competition); to appraise	7-9
评委	評委	ping2 wei3	evaluation committee; judging panel; judging panel member; adjudicator (abbr. for 評選委員會委員|评选委员会委员[ping2 xuan3 wei3 yuan2 hui4 wei3 yuan2])	7-9
评定	評定	ping2 ding4	to evaluate; to make one's judgment	7-9
评审	評審	ping2 shen3	to appraise; to evaluate; to judge	7-9
评论	評論	ping2 lun4	to comment on; to discuss; comment; commentary; CL:篇[pian1]	5
评论员	評論員	ping2 lun4 yuan2	commentator	7-9
评选	評選	ping2 xuan3	to select on the basis of a vote or consensus	6
词	詞	ci2	word; statement; speech; lyrics; a form of lyric poetry, flourishing in the Song dynasty 宋朝[Song4 chao2] (CL:首[shou3])	2
词典	詞典	ci2 dian3	dictionary; also written 辭典|辞典[ci2 dian3]; CL:部[bu4],本[ben3]	2
词汇	詞匯	ci2 hui4	variant of 詞彙|词汇[ci2 hui4]	4
词汇	詞彙	ci2 hui4	vocabulary; list of words (e.g. for language teaching purposes); word	4
词语	詞語	ci2 yu3	word (general term including monosyllables through to short phrases); term (e.g. technical term); expression	2
询问	詢問	xun2 wen4	to inquire	5
试	試	shi4	to test; to try; experiment; examination; test	1
试卷	試卷	shi4 juan4	examination paper; test paper; CL:份[fen4],張|张[zhang1]	4
试图	試圖	shi4 tu2	to attempt; to try	5
试探	試探	shi4 tan4	to sound out; to probe; to feel out; to try out	7-9
试用	試用	shi4 yong4	to try sth out; to be on probation	7-9
试用期	試用期	shi4 yong4 qi1	trial period; probationary period	7-9
试行	試行	shi4 xing2	to try out; to test	7-9
试题	試題	shi4 ti2	exam question; test topic	3
试验	試驗	shi4 yan4	experiment; test; CL:次[ci4],個|个[ge4]; to experiment; experimental	3
试点	試點	shi4 dian3	test point; to carry out trial; pilot scheme	6
诗	詩	Shi1	abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs	4
诗	詩	shi1	poem; CL:首[shou3]; poetry; verse	4
诗人	詩人	shi1 ren2	bard; poet	4
诗歌	詩歌	shi1 ge1	poem; CL:本[ben3],首[shou3],段[duan4]	5
诧异	詫異	cha4 yi4	flabbergasted; astonished	7-9
话	話	hua4	dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]	1
话剧	話劇	hua4 ju4	stage play; modern drama; CL:臺|台[tai2],部[bu4]	3
话筒	話筒	hua4 tong3	microphone; (telephone) receiver; handset; megaphone; (fig.) mouthpiece; spokesperson	7-9
话语	話語	hua4 yu3	words; speech; utterance; discourse	7-9
话费	話費	hua4 fei4	call charge	7-9
话题	話題	hua4 ti2	subject (of a talk or conversation); topic	3
详尽	詳盡	xiang2 jin4	thorough and detailed; exhaustive; the tedious details in full	7-9
详细	詳細	xiang2 xi4	detailed; in detail; minute	5
夸	誇	kua1	to boast; to exaggerate; to praise	7-9
夸大	誇大	kua1 da4	to exaggerate	7-9
夸张	誇張	kua1 zhang1	to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; ridiculous; outrageous	7-9
夸奖	誇獎	kua1 jiang3	to praise; to applaud; to compliment	7-9
夸耀	誇耀	kua1 yao4	to brag about; to flaunt	7-9
夸夸其谈	誇誇其談	kua1 kua1 qi2 tan2	(idiom) to talk big; to sound off; to be full of hot air	7-9
认	認	ren4	to recognize; to know; to admit	5
认出	認出	ren4 chu1	recognition; to recognize	3
认可	認可	ren4 ke3	to approve; approval; acknowledgment; OK	3
认同	認同	ren4 tong2	to approve of; to endorse; to acknowledge; to recognize; to identify oneself with	6
认定	認定	ren4 ding4	to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with	5
认得	認得	ren4 de5	to recognize; to remember sth (or sb) on seeing it; to know	3
认为	認為	ren4 wei2	to believe; to think; to consider; to feel	2
认真	認真	ren4 zhen1	conscientious; earnest; serious; to take seriously; to take to heart	1
认知	認知	ren4 zhi1	cognition; cognitive; understanding; perception; awareness; to be cognizant of; to recognize; to realize	7-9
认证	認證	ren4 zheng4	to authenticate; to approve	7-9
认识	認識	ren4 shi5	to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition	1
认错	認錯	ren4 cuo4	to admit an error; to acknowledge one's mistake	7-9
诞生	誕生	dan4 sheng1	to be born	6
诞辰	誕辰	dan4 chen2	birthday	7-9
诱人	誘人	you4 ren2	attractive; alluring; captivating	7-9
诱惑	誘惑	you4 huo4	to entice; to lure; to induce; to attract	7-9
诱发	誘發	you4 fa1	to induce; to cause; to elicit; to trigger	7-9
诱饵	誘餌	you4 er3	bait	7-9
语气	語氣	yu3 qi4	tone; manner of speaking; mood; CL:個|个[ge4]	7-9
语法	語法	yu3 fa3	grammar	4
语言	語言	yu3 yan2	language; CL:門|门[men2],種|种[zhong3]	2
语音	語音	yu3 yin1	speech sounds; pronunciation; colloquial (rather than literary) pronunciation of a Chinese character; phonetic; audio; voice; (Internet) to voice chat; voice message	4
诚信	誠信	cheng2 xin4	honesty; trustworthiness; good faith	4
诚实	誠實	cheng2 shi2	honest	4
诚心诚意	誠心誠意	cheng2 xin1 cheng2 yi4	earnestly and sincerely (idiom); with all sincerity	7-9
诚意	誠意	cheng2 yi4	sincerity; good faith	7-9
诚恳	誠懇	cheng2 ken3	sincere; honest; cordial	7-9
诚挚	誠摯	cheng2 zhi4	sincere; cordial	7-9
误	誤	wu4	mistake; error; to miss; to harm; to delay; to neglect; mistakenly	6
误区	誤區	wu4 qu1	mistaken ideas; misconceptions; the error of one's ways	7-9
误导	誤導	wu4 dao3	to mislead; to misguide; misleading	7-9
误差	誤差	wu4 cha1	difference; error; inaccuracy	7-9
误会	誤會	wu4 hui4	to misunderstand; to mistake; misunderstanding; CL:個|个[ge4]	4
误解	誤解	wu4 jie3	to misunderstand; misunderstanding	5
说	說	shui4	to persuade	1
说	說	shuo1	to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine	1
说不上	說不上	shuo1 bu5 shang4	to be unable to say or tell; to not be worth mentioning	7-9
说不定	說不定	shuo1 bu5 ding4	can't say for sure; maybe	4
说到底	說到底	shuo1 dao4 di3	in the final analysis; in the end	7-9
说实话	說實話	shuo1 shi2 hua4	to speak the truth; truth to tell; frankly	6
说干就干	說幹就幹	shuo1 gan4 jiu4 gan4	to do what needs to be done, without delay	7-9
说情	說情	shuo1 qing2	to intercede; to plead for sb else	7-9
说明	說明	shuo1 ming2	to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption; CL:個|个[ge4]	2
说明书	說明書	shuo1 ming2 shu1	(technical) manual; (book of) directions; synopsis (of a play or film); specification (patent); CL:本[ben3]	6
说服	說服	shuo1 fu2	to persuade; to convince; to talk sb over; Taiwan pr. [shui4 fu2]	4
说法	說法	shuo1 fa3	to expound Buddhist teachings	5
说法	說法	shuo1 fa5	way of speaking; wording; formulation; one's version (of events); statement; theory; hypothesis; interpretation	5
说白了	說白了	shuo1 bai2 le5	to speak frankly	7-9
说真的	說真的	shuo1 zhen1 de5	to tell the truth; honestly; in fact	7-9
说老实话	說老實話	shuo1 lao3 shi5 hua4	to be honest; to tell the truth; to be frank	7-9
说话	說話	shuo1 hua4	to speak; to say; to talk; to gossip; to tell stories; talk; word	1
说谎	說謊	shuo1 huang3	to lie; to tell an untruth	7-9
说道	說道	shuo1 dao4	to state; to say (the quoted words)	7-9
说道	說道	shuo1 dao5	to discuss; reason (behind sth)	7-9
说闲话	說閒話	shuo1 xian2 hua4	to chat; to gossip	7-9
说	説	shuo1	variant of 說|说[shuo1]	1
谁	誰	shei2	who; also pr. [shui2]	1
谁知道	誰知道	shei2 zhi1 dao4	God knows...; Who would have imagined...?	7-9
课	課	ke4	subject; course; CL:門|门[men2]; class; lesson; CL:堂[tang2],節|节[jie2]; to levy; tax; form of divination	1
课堂	課堂	ke4 tang2	classroom (CL:間|间[jian1]); class session	2
课文	課文	ke4 wen2	text; CL:篇[pian1]	1
课本	課本	ke4 ben3	textbook; CL:本[ben3]	1
课程	課程	ke4 cheng2	course; academic program; CL:堂[tang2],節|节[jie2],門|门[men2]	3
课题	課題	ke4 ti2	task; problem; issue	5
诽谤	誹謗	fei3 bang4	to slander; to libel	7-9
调	調	diao4	to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody	3
调	調	tiao2	to harmonize; to reconcile; to blend; to suit well; to adjust; to regulate; to season (food); to provoke; to incite	3
调侃	調侃	tiao2 kan3	to ridicule; to tease; to mock; idle talk; chitchat	7-9
调动	調動	diao4 dong4	to transfer; to maneuver (troops etc); movement of personnel; to mobilize; to bring into play	5
调度	調度	diao4 du4	to dispatch (vehicles, staff etc); to schedule; to manage; dispatcher; scheduler	7-9
调控	調控	tiao2 kong4	to regulate; to control	7-9
调整	調整	tiao2 zheng3	to adjust; adjustment; revision; CL:個|个[ge4]	3
调料	調料	tiao2 liao4	condiment; seasoning; flavoring	7-9
调查	調查	diao4 cha2	investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiang4],個|个[ge4]	3
调皮	調皮	tiao2 pi2	naughty; mischievous; unruly	4
调研	調研	diao4 yan2	to investigate and research; research; investigation	6
调节	調節	tiao2 jie2	to adjust; to regulate; to harmonize; to reconcile (accountancy etc)	5
调解	調解	tiao2 jie3	to mediate; to bring parties to an agreement	5
调试	調試	tiao2 shi4	to debug; to adjust components during testing; debugging	7-9
谈	談	Tan2	surname Tan	3
谈	談	tan2	to speak; to talk; to converse; to chat; to discuss	3
谈不上	談不上	tan2 bu5 shang4	to be out of the question	7-9
谈判	談判	tan2 pan4	to negotiate; negotiation; talks; conference; CL:個|个[ge4]	3
谈到	談到	tan2 dao4	to refer to; to speak about; to talk about	7-9
谈话	談話	tan2 hua4	to talk (with sb); to have a conversation; talk; conversation; CL:次[ci4]	3
谈论	談論	tan2 lun4	to discuss; to talk about	7-9
谈起	談起	tan2 qi3	to mention; to speak of; to talk about	7-9
请	請	qing3	to ask; to invite; please (do sth); to treat (to a meal etc); to request	1
请假	請假	qing3 jia4	to request leave of absence	1
请问	請問	qing3 wen4	Excuse me, may I ask...?	1
请坐	請坐	qing3 zuo4	please, have a seat	1
请客	請客	qing3 ke4	to give a dinner party; to entertain guests; to invite to dinner	2
请帖	請帖	qing3 tie3	invitation card; written invitation	7-9
请教	請教	qing3 jiao4	to ask for guidance; to consult	3
请柬	請柬	qing3 jian3	invitation card; written invitation	7-9
请求	請求	qing3 qiu2	to request; to ask; request (CL:個|个[ge4])	2
请进	請進	qing3 jin4	"please come in"	1
谅解	諒解	liang4 jie3	to understand; to make allowances for; understanding	7-9
论坛	論壇	lun4 tan2	forum (for discussion)	7-9
论文	論文	lun4 wen2	paper; treatise; thesis; CL:篇[pian1]; to discuss a paper or thesis (old)	4
论证	論證	lun4 zheng4	to prove a point; to expound on; to demonstrate or prove (through argument); proof	7-9
